table_id,project_id,table_name,description,created_at,updated_at
0c226eae-66d6-45c9-bcce-853f5e8def82,4272a072-e893-4f70-98a0-eacd8bee80b4,"users","",2025-09-10T16:29:19.756Z,2025-09-10T16:29:19.756Z
9bc99bf8-3541-44e5-967d-b061c262a7eb,4272a072-e893-4f70-98a0-eacd8bee80b4,"posts","",2025-09-10T16:31:36.579Z,2025-09-10T16:31:36.579Z
3d01bc94-a971-4877-b478-74d03518b07c,4272a072-e893-4f70-98a0-eacd8bee80b4,"users","Created via SQL Editor",2025-09-25T14:08:48.575Z,2025-09-25T14:08:48.575Z
cc039eee-8792-4f0e-8b8a-1ba277806677,4272a072-e893-4f70-98a0-eacd8bee80b4,"users","Created via SQL Editor",2025-09-25T14:09:11.874Z,2025-09-25T14:09:11.874Z
